# Every file under third_party/, and where it came from (plan.md STUDIO-10012).
#
# The rule this file exists to enforce: provenance, licence, version and reason are recorded
# *before* a dependency is added. THIRD_PARTY_NOTICES.md is where the reasons live and is meant to
# be read; this is the same facts in a shape a test can check, so that "everything vendored is
# accounted for" is a gate rather than a habit. ThirdPartyProvenanceTests.cpp walks this directory
# and fails on any file that is not listed here, and on any listed hash that no longer matches.
#
# sha256 of "-" means the file is this repository's own work, carries this repository's licence,
# and has no upstream to be verbatim against.
#
# path	sha256	licence	version	origin
third_party/cgltf/cgltf.h	e378a21c084bf1f288bb799de827bb26906efb024255f1ecf1705ea13f11c6ec	MIT	1.15	https://github.com/jkuhlmann/cgltf
third_party/cgltf/LICENSE	f619925f80ef862497aaf8e8155ef218fa6a2190055129523ca3df9119a9ba95	MIT	1.15	https://github.com/jkuhlmann/cgltf
third_party/cgltf/cgltf_impl.cpp	-	MS-PL	-	this repository: the one translation unit that defines CGLTF_IMPLEMENTATION, which upstream does not ship
third_party/cgltf/cgltf_prefixed.h	-	MS-PL	-	this repository: renames cgltf's extern "C" symbols so a build linking CNA's copy too does not hit multiple definitions
third_party/stb/stb_truetype.h	ecd30b05e0dd4fea3a13c26810dd9e1992dc379049482c393d5a19e6b5090aab	MIT OR Unlicense	1.26	https://raw.githubusercontent.com/nothings/stb/master/stb_truetype.h
third_party/stb/stb_image.h	594c2fe35d49488b4382dbfaec8f98366defca819d916ac95becf3e75f4200b3	MIT OR Unlicense	2.30	https://raw.githubusercontent.com/nothings/stb/master/stb_image.h
third_party/stb/LICENSE	bebfe904b14301657e4e5d655c811d51fd31b97c455b9cc2d8600d6bac6cff63	MIT OR Unlicense	1.26	https://github.com/nothings/stb
third_party/fonts/IBMPlexSans-Regular.ttf	975dcda37d80f038dcd143c22e33ca2d97a0cc5a929aace1c749153b0fe1afa5	OFL-1.1	IBM Plex	https://raw.githubusercontent.com/IBM/plex/master/packages/plex-sans/fonts/complete/ttf/IBMPlexSans-Regular.ttf
third_party/fonts/IBMPlexSans-SemiBold.ttf	a20caf8286023a6a7a85e40b1d2a4ae9fc3e3b1f9eda8f4c542dd4986af67bb1	OFL-1.1	IBM Plex	https://raw.githubusercontent.com/IBM/plex/master/packages/plex-sans/fonts/complete/ttf/IBMPlexSans-SemiBold.ttf
third_party/fonts/IBMPlexMono-Regular.ttf	7c6fbddca4b700be918f5f6183d9bd4464fa427fe435f0b480d77fe2bb8c5a43	OFL-1.1	IBM Plex	https://raw.githubusercontent.com/IBM/plex/master/packages/plex-mono/fonts/complete/ttf/IBMPlexMono-Regular.ttf
third_party/fonts/OFL-IBMPlex.txt	7e6b2818edbd8f6a01ae80641cc8f16a51080d08fb4e532be3a0b6f74adb07da	OFL-1.1	IBM Plex	https://github.com/IBM/plex
